ChartNum,Folder_Name,File_Link,Chart_Type,Orientation,Tick_Direction,Tick_Length,Tick_Width,Tick_X_Axis_Major_Locator,Tick_X_Axis_Minor_Locator,Tick_X_Axis_Tick_Style,Tick_X_Axis_Color,Tick_X_Axis_Font_Name,Tick_X_Axis_Font_Size,Tick_X_Axis_Rotation,Tick_Y_Axis_Major_Locator,Tick_Y_Axis_Minor_Locator,Tick_Y_Axis_Tick_Style,Tick_Y_Axis_Color,Tick_Y_Axis_Font_Name,Tick_Y_Axis_Font_Size,Tick_Y_Axis_Rotation,ShowGrid,Independent_Axis_Scale,Independent_Axis_Labels_Source,Dependent_Axis_Scale,Dependent_Axis_Labels_Source
Chart11,SynChart_200106_223729,"=hyperlink(""./Chart11/Chart11_gt_bb.png"")",Line,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart12,SynChart_200106_223729,"=hyperlink(""./Chart12/Chart12_gt_bb.png"")",Line,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart13,SynChart_200106_223729,"=hyperlink(""./Chart13/Chart13_gt_bb.png"")",Bar,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart14,SynChart_200106_223729,"=hyperlink(""./Chart14/Chart14_gt_bb.png"")",Bar,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart15,SynChart_200106_223729,"=hyperlink(""./Chart15/Chart15_gt_bb.png"")",Line,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart16,SynChart_200106_223729,"=hyperlink(""./Chart16/Chart16_gt_bb.png"")",Line,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart17,SynChart_200106_223729,"=hyperlink(""./Chart17/Chart17_gt_bb.png"")",Bar,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart18,SynChart_200106_223729,"=hyperlink(""./Chart18/Chart18_gt_bb.png"")",Bar,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart19,SynChart_200106_223729,"=hyperlink(""./Chart19/Chart19_gt_bb.png"")",Line,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart20,SynChart_200106_223729,"=hyperlink(""./Chart20/Chart20_gt_bb.png"")",Line,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart21,SynChart_200106_223729,"=hyperlink(""./Chart21/Chart21_gt_bb.png"")",Bar,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart22,SynChart_200106_223729,"=hyperlink(""./Chart22/Chart22_gt_bb.png"")",Bar,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart23,SynChart_200106_223729,"=hyperlink(""./Chart23/Chart23_gt_bb.png"")",Line,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart24,SynChart_200106_223729,"=hyperlink(""./Chart24/Chart24_gt_bb.png"")",Line,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart25,SynChart_200106_223729,"=hyperlink(""./Chart25/Chart25_gt_bb.png"")",Bar,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart26,SynChart_200106_223729,"=hyperlink(""./Chart26/Chart26_gt_bb.png"")",Bar,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart27,SynChart_200106_223729,"=hyperlink(""./Chart27/Chart27_gt_bb.png"")",Line,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart28,SynChart_200106_223729,"=hyperlink(""./Chart28/Chart28_gt_bb.png"")",Line,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart29,SynChart_200106_223729,"=hyperlink(""./Chart29/Chart29_gt_bb.png"")",Bar,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart30,SynChart_200106_223729,"=hyperlink(""./Chart30/Chart30_gt_bb.png"")",Bar,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart31,SynChart_200106_223729,"=hyperlink(""./Chart31/Chart31_gt_bb.png"")",Line,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart32,SynChart_200106_223729,"=hyperlink(""./Chart32/Chart32_gt_bb.png"")",Line,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart33,SynChart_200106_223729,"=hyperlink(""./Chart33/Chart33_gt_bb.png"")",Bar,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart34,SynChart_200106_223729,"=hyperlink(""./Chart34/Chart34_gt_bb.png"")",Bar,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart35,SynChart_200106_223729,"=hyperlink(""./Chart35/Chart35_gt_bb.png"")",Line,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart36,SynChart_200106_223729,"=hyperlink(""./Chart36/Chart36_gt_bb.png"")",Line,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart37,SynChart_200106_223729,"=hyperlink(""./Chart37/Chart37_gt_bb.png"")",Bar,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart38,SynChart_200106_223729,"=hyperlink(""./Chart38/Chart38_gt_bb.png"")",Bar,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart39,SynChart_200106_223729,"=hyperlink(""./Chart39/Chart39_gt_bb.png"")",Line,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart40,SynChart_200106_223729,"=hyperlink(""./Chart40/Chart40_gt_bb.png"")",Line,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart41,SynChart_200106_223729,"=hyperlink(""./Chart41/Chart41_gt_bb.png"")",Bar,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart42,SynChart_200106_223729,"=hyperlink(""./Chart42/Chart42_gt_bb.png"")",Bar,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart43,SynChart_200106_223729,"=hyperlink(""./Chart43/Chart43_gt_bb.png"")",Line,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart44,SynChart_200106_223729,"=hyperlink(""./Chart44/Chart44_gt_bb.png"")",Line,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart45,SynChart_200106_223729,"=hyperlink(""./Chart45/Chart45_gt_bb.png"")",Bar,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart46,SynChart_200106_223729,"=hyperlink(""./Chart46/Chart46_gt_bb.png"")",Bar,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart47,SynChart_200106_223729,"=hyperlink(""./Chart47/Chart47_gt_bb.png"")",Line,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart48,SynChart_200106_223729,"=hyperlink(""./Chart48/Chart48_gt_bb.png"")",Line,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart49,SynChart_200106_223729,"=hyperlink(""./Chart49/Chart49_gt_bb.png"")",Bar,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart50,SynChart_200106_223729,"=hyperlink(""./Chart50/Chart50_gt_bb.png"")",Bar,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart51,SynChart_200106_223729,"=hyperlink(""./Chart51/Chart51_gt_bb.png"")",Line,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart52,SynChart_200106_223729,"=hyperlink(""./Chart52/Chart52_gt_bb.png"")",Line,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart53,SynChart_200106_223729,"=hyperlink(""./Chart53/Chart53_gt_bb.png"")",Bar,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart54,SynChart_200106_223729,"=hyperlink(""./Chart54/Chart54_gt_bb.png"")",Bar,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart55,SynChart_200106_223729,"=hyperlink(""./Chart55/Chart55_gt_bb.png"")",Line,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart56,SynChart_200106_223729,"=hyperlink(""./Chart56/Chart56_gt_bb.png"")",Line,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart57,SynChart_200106_223729,"=hyperlink(""./Chart57/Chart57_gt_bb.png"")",Bar,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart58,SynChart_200106_223729,"=hyperlink(""./Chart58/Chart58_gt_bb.png"")",Bar,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart59,SynChart_200106_223729,"=hyperlink(""./Chart59/Chart59_gt_bb.png"")",Line,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart60,SynChart_200106_223729,"=hyperlink(""./Chart60/Chart60_gt_bb.png"")",Line,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart61,SynChart_200106_223729,"=hyperlink(""./Chart61/Chart61_gt_bb.png"")",Bar,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart62,SynChart_200106_223729,"=hyperlink(""./Chart62/Chart62_gt_bb.png"")",Bar,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart63,SynChart_200106_223729,"=hyperlink(""./Chart63/Chart63_gt_bb.png"")",Line,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart64,SynChart_200106_223729,"=hyperlink(""./Chart64/Chart64_gt_bb.png"")",Line,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
